game_id,game_date,season,team_home,team_away,pts_home,fg_pct_home,pct_3p_home,ft_pct_home,ast_home,reb_home,pts_away,fg_pct_away,pct_3p_away,ft_pct_away,ast_away,reb_away,home_team_win
10400064,2004-10-22,2004-05,Golden State Warriors,Denver Nuggets,86,0.405,0.300,0.792,15,39,105,0.483,0.364,0.739,29,41,0
10400065,2004-10-22,2004-05,Charlotte Hornets,Portland Trail Blazers,69,0.377,0.300,0.571,24,36,63,0.311,0.217,0.741,9,44,1
10400066,2004-10-22,2004-05,Minnesota Timberwolves,New York Knicks,102,0.523,0.143,0.643,32,46,82,0.333,0.154,0.778,21,41,1
10400067,2004-10-22,2004-05,Utah Jazz,Sacramento Kings,103,0.507,0.667,0.641,25,43,88,0.362,0.250,0.814,16,33,1
10400068,2004-10-22,2004-05,Boston Celtics,Brooklyn Nets,83,0.431,0.273,0.706,14,34,96,0.449,0.231,0.885,21,35,0
10400069,2004-10-22,2004-05,Los Angeles Lakers,Los Angeles Clippers,113,0.465,0.533,0.800,20,46,94,0.357,0.400,0.800,22,43,1
10400070,2004-10-22,2004-05,Atlanta Hawks,Miami Heat,82,0.403,0.111,0.657,20,36,113,0.582,0.357,0.652,16,43,0
10400071,2004-10-22,2004-05,Detroit Pistons,Washington Wizards,100,0.549,0.500,0.810,24,34,82,0.411,0.071,0.724,15,33,1
10400072,2004-10-23,2004-05,Orlando Magic,Houston Rockets,95,0.481,0.364,0.773,20,37,72,0.385,0.000,0.759,12,38,1
10400073,2004-10-23,2004-05,Memphis Grizzlies,Atlanta Hawks,100,0.514,0.500,0.719,28,47,72,0.351,0.286,0.533,17,37,1
10400074,2004-10-23,2004-05,Minnesota Timberwolves,Indiana Pacers,104,0.449,0.353,0.837,23,41,106,0.521,0.450,0.697,21,33,0
10400075,2004-10-23,2004-05,Sacramento Kings,New Orleans Pelicans,92,0.455,0.286,0.903,19,38,87,0.432,0.357,0.621,15,36,1
10400076,2004-10-23,2004-05,Boston Celtics,Cleveland Cavaliers,91,0.479,0.231,0.833,23,35,96,0.486,0.000,0.750,22,33,0
10400077,2004-10-23,2004-05,Philadelphia 76ers,Brooklyn Nets,86,0.422,0.250,0.683,14,40,81,0.408,0.250,0.724,22,43,1
10400078,2004-10-23,2004-05,Chicago Bulls,Toronto Raptors,89,0.380,0.263,0.500,21,43,91,0.453,0.353,0.586,27,55,0
10400079,2004-10-23,2004-05,Milwaukee Bucks,Dallas Mavericks,89,0.393,0.222,0.656,23,46,91,0.430,0.412,0.640,20,42,0
10400080,2004-10-23,2004-05,San Antonio Spurs,Oklahoma City Thunder,91,0.522,0.400,0.680,25,33,82,0.425,0.133,0.900,16,37,1
10400081,2004-10-24,2004-05,Detroit Pistons,Utah Jazz,82,0.419,0.313,0.600,19,39,75,0.385,0.625,0.741,18,40,1
10400082,2004-10-24,2004-05,Los Angeles Clippers,New Orleans Pelicans,97,0.471,0.600,0.769,23,41,96,0.421,0.231,0.744,19,39,1
10400083,2004-10-24,2004-05,New York Knicks,Dallas Mavericks,102,0.506,0.462,0.632,25,42,86,0.366,0.300,0.939,12,38,1
10400084,2004-10-24,2004-05,Washington Wizards,Charlotte Hornets,97,0.455,0.333,0.667,15,42,85,0.444,0.250,0.750,19,38,1
10400085,2004-10-24,2004-05,Denver Nuggets,Indiana Pacers,98,0.487,0.294,0.708,29,43,80,0.365,0.238,0.778,15,41,1
